tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,total_amount
2025-02-01 00:05:39,2025-02-01 00:16:31,1.0,2.25,48,249,1,12.8,3.71,22.26
2025-02-01 00:26:51,2025-02-01 00:46:34,1.0,4.18,249,141,1,21.9,5.53,33.18
2025-02-01 00:11:15,2025-02-01 00:24:48,1.0,2.69,50,125,1,16.3,5.51,27.56
2025-02-01 00:42:34,2025-02-01 00:55:30,1.0,1.8,90,114,1,13.5,3.85,23.1
2025-02-01 00:16:34,2025-02-01 00:22:55,1.0,0.4,230,100,1,5.1,0.0,10.85
2025-02-01 00:40:15,2025-02-01 01:03:32,1.0,3.8,186,262,1,21.2,5.4,32.35
2025-02-01 00:15:24,2025-02-01 00:23:15,1.0,1.3,79,164,1,10.0,3.15,18.9
2025-02-01 00:24:29,2025-02-01 00:39:37,1.0,2.2,164,237,1,16.3,4.41,26.46
2025-02-01 00:54:04,2025-02-01 00:57:24,4.0,0.86,162,237,1,5.8,2.31,13.86
2025-02-01 00:09:50,2025-02-01 00:20:20,3.0,1.49,107,249,1,11.4,3.43,20.58
2025-02-01 00:26:39,2025-02-01 00:44:11,1.0,4.66,90,75,1,20.5,3.94,30.19
2025-02-01 00:02:23,2025-02-01 00:29:50,1.0,4.0,48,79,1,23.3,5.8,34.85
2025-02-01 00:32:26,2025-02-01 00:43:31,1.0,1.2,79,114,1,9.3,1.0,16.05
2025-02-01 00:04:09,2025-02-01 00:20:44,3.0,3.78,140,7,1,19.8,6.39,31.94
2025-02-01 00:38:27,2025-02-01 00:52:47,2.0,3.1,141,113,1,16.3,4.41,26.46
2025-02-01 00:16:15,2025-02-01 00:23:34,1.0,1.47,79,137,1,9.3,3.01,18.06
2025-02-01 00:57:11,2025-02-01 01:02:59,1.0,1.28,79,137,1,8.6,1.0,15.35
2025-02-01 00:06:36,2025-02-01 00:19:41,1.0,1.96,68,249,1,13.5,3.85,23.1
2025-02-01 00:24:49,2025-02-01 00:45:12,1.0,3.5,249,48,1,21.2,5.39,32.34
2025-02-01 00:58:57,2025-02-01 01:11:11,1.0,4.59,229,168,1,21.2,5.39,32.34
2025-02-01 00:32:11,2025-02-01 00:54:54,1.0,5.24,4,143,1,26.1,5.0,36.85
2025-02-01 00:16:57,2025-02-01 00:24:01,2.0,1.0,48,162,1,8.6,2.87,17.22
2025-02-01 00:39:55,2025-02-01 00:53:50,1.0,3.4,79,163,1,17.0,4.55,27.3
2025-02-01 00:58:22,2025-02-01 01:07:50,1.0,1.93,162,263,2,10.7,0.0,16.45
2025-02-01 00:09:13,2025-02-01 00:14:29,1.0,1.0,161,141,1,7.2,2.6,15.55
2025-02-01 00:00:10,2025-02-01 00:12:21,1.0,2.4,263,74,1,12.8,3.56,21.36
2025-02-01 00:44:45,2025-02-01 00:53:14,1.0,2.07,162,262,1,11.4,3.43,20.58
2025-02-01 00:24:21,2025-02-01 00:29:25,1.0,0.6,162,229,1,6.5,2.45,14.7
2025-02-01 00:48:36,2025-02-01 00:56:43,1.0,1.5,164,68,1,9.3,1.51,16.56
2025-02-01 00:03:42,2025-02-01 00:17:49,1.0,2.17,144,170,1,14.2,2.05,22.0
2025-02-01 00:37:25,2025-02-01 00:54:15,1.0,2.54,249,87,1,17.0,4.55,27.3
2025-02-01 00:43:42,2025-02-01 00:53:38,1.0,2.16,48,249,1,12.8,3.71,22.26
2025-02-01 00:07:09,2025-02-01 00:14:50,2.0,0.8,113,249,1,8.6,2.85,17.2
2025-02-01 00:16:02,2025-02-01 00:32:46,2.0,3.1,249,162,1,17.7,4.65,28.1
2025-02-01 00:45:44,2025-02-01 00:53:57,2.0,1.3,79,90,1,9.3,0.0,15.05
2025-02-01 00:09:59,2025-02-01 00:28:38,4.0,2.27,234,148,1,17.7,4.69,28.14
2025-02-01 00:13:52,2025-02-01 00:21:13,1.0,1.32,239,48,1,10.0,3.15,18.9
2025-02-01 00:04:23,2025-02-01 00:17:14,1.0,2.11,211,88,1,13.5,0.96,20.21
2025-02-01 00:18:19,2025-02-01 00:32:10,1.0,4.63,88,137,1,21.2,5.39,32.34
2025-02-01 00:37:25,2025-02-01 00:48:27,1.0,2.88,170,236,1,14.2,3.99,23.94
2025-02-01 00:30:40,2025-02-01 00:43:04,1.0,3.23,238,161,1,16.3,4.41,26.46
2025-02-01 00:29:31,2025-02-01 00:43:56,2.0,1.7,148,90,1,14.2,3.95,23.9
2025-02-01 00:20:47,2025-02-01 00:29:29,1.0,1.7,263,239,1,10.7,1.0,16.7
2025-02-01 00:38:50,2025-02-01 00:47:15,1.0,1.37,114,107,1,10.0,3.15,18.9
2025-02-01 00:48:09,2025-02-01 00:59:48,1.0,2.87,107,141,1,14.9,4.13,24.78
2025-02-01 00:22:12,2025-02-01 00:56:25,3.0,8.98,114,42,2,42.9,0.0,48.65
2025-02-01 00:01:10,2025-02-01 00:01:10,1.0,1.14,161,141,1,8.6,2.87,17.22
2025-02-01 00:12:40,2025-02-01 00:22:34,1.0,1.0,79,148,1,9.3,3.0,18.05
2025-02-01 00:31:56,2025-02-01 00:47:16,1.0,1.9,148,158,1,12.8,1.45,20.0
2025-02-01 00:59:00,2025-02-01 01:09:15,1.0,1.2,249,68,1,10.0,3.95,19.7
2025-02-01 00:01:27,2025-02-01 00:11:19,1.0,1.25,114,79,1,10.7,3.29,19.74
2025-02-01 00:13:32,2025-02-01 00:21:34,1.0,0.96,79,148,1,9.3,1.0,16.05
2025-02-01 00:30:23,2025-02-01 00:42:58,2.0,3.43,148,229,1,17.0,4.55,27.3
2025-02-01 00:56:32,2025-02-01 01:03:56,1.0,1.6,79,164,1,10.0,2.0,17.75
2025-02-01 00:49:59,2025-02-01 00:54:45,1.0,0.96,90,246,2,7.2,0.0,12.95
2025-02-01 00:01:11,2025-02-01 00:29:14,1.0,3.66,144,163,2,25.4,0.0,31.15
2025-02-01 00:10:14,2025-02-01 00:20:27,1.0,1.9,234,237,1,10.7,2.0,18.45
2025-02-01 00:08:27,2025-02-01 00:13:41,1.0,1.39,249,68,1,8.6,1.0,15.35
2025-02-01 00:46:24,2025-02-01 01:06:15,2.0,3.85,148,48,1,21.2,1.0,27.95
2025-02-01 00:01:19,2025-02-01 00:07:18,2.0,0.8,161,170,1,6.5,3.7,15.95
2025-02-01 00:10:44,2025-02-01 00:18:43,1.0,1.7,162,236,1,9.3,3.0,18.05
2025-02-01 00:04:50,2025-02-01 00:22:20,0.0,3.8,237,79,1,19.8,5.1,30.65
2025-02-01 00:29:40,2025-02-01 00:50:47,0.0,4.5,4,145,1,21.9,1.0,35.59
2025-02-01 00:21:29,2025-02-01 00:25:27,1.0,1.66,74,263,1,8.6,2.72,16.32
2025-02-01 00:03:13,2025-02-01 00:27:01,1.0,7.26,238,231,1,33.1,11.65,50.5
2025-02-01 00:47:54,2025-02-01 01:06:23,1.0,5.3,166,7,1,24.7,6.8,40.94
2025-02-01 00:13:00,2025-02-01 00:22:20,1.0,1.64,211,13,1,11.4,3.43,20.58
2025-02-01 00:54:09,2025-02-01 00:57:26,1.0,0.98,48,246,1,6.5,1.84,14.09
2025-02-01 00:58:10,2025-02-01 01:18:26,1.0,3.36,246,148,1,21.2,5.39,32.34
2025-02-01 00:03:23,2025-02-01 00:08:06,1.0,0.76,249,90,1,6.5,3.06,15.31
2025-02-01 00:12:06,2025-02-01 00:35:01,1.0,2.23,90,148,1,19.1,4.0,28.85
2025-02-01 00:35:59,2025-02-01 00:40:47,2.0,0.9,113,90,1,7.2,1.0,13.95
2025-02-01 00:41:39,2025-02-01 00:57:51,1.0,2.8,90,211,1,17.7,0.0,23.45
2025-02-01 00:42:58,2025-02-01 00:54:06,1.0,2.39,249,100,1,13.5,3.85,23.1
2025-02-01 00:00:15,2025-02-01 00:45:12,2.0,11.1,230,89,2,54.1,0.0,59.85
2025-02-01 00:12:04,2025-02-01 00:19:51,1.0,1.27,100,170,1,9.3,1.5,16.55
2025-02-01 00:34:14,2025-02-01 00:42:17,1.0,1.53,68,170,1,9.3,1.0,16.05
2025-02-01 00:46:46,2025-02-01 00:58:42,1.0,2.38,161,4,1,14.2,3.99,23.94
2025-02-01 00:06:37,2025-02-01 00:12:58,1.0,1.4,249,246,1,7.9,2.75,16.4
2025-02-01 00:21:45,2025-02-01 00:33:59,1.0,2.5,249,246,1,13.5,3.85,23.1
2025-02-01 00:46:50,2025-02-01 00:51:30,1.0,0.6,249,158,1,5.8,2.3,13.85
2025-02-01 00:56:49,2025-02-01 01:04:44,1.0,1.0,249,90,1,8.6,2.85,17.2
2025-02-01 00:00:48,2025-02-01 00:08:10,1.0,1.59,151,236,1,10.0,3.0,18.0
2025-02-01 00:22:50,2025-02-01 00:30:56,1.0,2.26,263,233,1,11.4,3.43,20.58
2025-02-01 00:03:26,2025-02-01 00:14:22,4.0,2.11,50,141,1,12.8,3.71,22.26
2025-02-01 00:36:41,2025-02-01 00:51:30,2.0,3.43,48,113,1,17.7,4.69,28.14
2025-02-01 00:04:03,2025-02-01 00:13:11,1.0,1.8,162,263,1,11.4,1.0,18.15
2025-02-01 00:20:27,2025-02-01 00:27:11,1.0,1.1,236,238,1,8.6,2.7,16.3
2025-02-01 00:31:52,2025-02-01 00:37:25,1.0,0.9,239,236,1,7.9,2.55,15.45
2025-02-01 00:53:25,2025-02-01 01:02:09,1.0,1.7,163,100,2,10.7,0.0,16.45
2025-02-01 00:03:15,2025-02-01 00:14:50,2.0,2.22,230,249,1,12.8,2.0,20.55
2025-02-01 00:16:45,2025-02-01 00:29:35,1.0,1.52,249,79,1,12.8,3.71,22.26
2025-02-01 00:04:56,2025-02-01 00:27:47,1.0,5.85,79,151,1,27.5,2.75,36.0
2025-02-01 00:46:55,2025-02-01 01:13:55,1.0,7.21,48,256,1,33.1,5.0,43.85
2025-02-01 00:14:39,2025-02-01 00:26:04,1.0,2.43,148,256,1,14.2,1.0,20.95
